Date,^GSPC,DJI,Nikkei,IBEX,VIX
2014-12-24,2081.8798828125,18030.2109375,17854.23046875,10481.7890625,14.369999885559082
2014-12-29,2090.570068359375,18038.23046875,17729.83984375,10394.189453125,15.0600004196167
2014-12-30,2080.35009765625,17983.0703125,17450.76953125,10279.189453125,15.920000076293945
2015-01-05,2020.5799560546875,17501.650390625,17408.7109375,9993.2900390625,19.920000076293945
2015-01-06,2002.6099853515625,17371.640625,16883.189453125,9871.08984375,21.1200008392334
2015-01-07,2025.9000244140625,17584.51953125,16885.330078125,9891.390625,19.309999465942383
2015-01-08,2062.139892578125,17907.869140625,17167.099609375,10114.990234375,17.010000228881836
2015-01-09,2044.81005859375,17737.369140625,17197.73046875,9718.990234375,17.549999237060547
2015-01-13,2023.030029296875,17613.6796875,17087.7109375,9965.990234375,20.559999465942383
2015-01-14,2011.27001953125,17427.08984375,16795.9609375,9845.990234375,21.479999542236328
2015-01-15,1992.6700439453125,17320.7109375,17108.69921875,9982.490234375,22.389999389648438
2015-01-16,2019.4200439453125,17511.5703125,16864.16015625,10038.890625,20.950000762939453
2015-01-20,2022.550048828125,17515.23046875,17366.30078125,10283.8896484375,19.889999389648438
2015-01-21,2032.1199951171875,17554.279296875,17280.48046875,10335.2890625,18.850000381469727
2015-01-22,2063.14990234375,17813.98046875,17329.01953125,10510.5888671875,16.399999618530273
2015-01-23,2051.820068359375,17672.599609375,17511.75,10581.4892578125,16.65999984741211
2015-01-26,2057.090087890625,17678.69921875,17468.51953125,10696.0888671875,15.520000457763672
2015-01-27,2029.550048828125,17387.2109375,17768.30078125,10598.8896484375,17.219999313354492
2015-01-28,2002.1600341796875,17191.369140625,17795.73046875,10456.8896484375,20.440000534057617
2015-01-29,2021.25,17416.849609375,17606.220703125,10507.5888671875,18.760000228881836
2015-01-30,1994.989990234375,17164.94921875,17674.390625,10403.2890625,20.969999313354492
2015-02-02,2020.8499755859375,17361.0390625,17558.0390625,10328.0888671875,19.43000030517578
2015-02-03,2050.030029296875,17666.400390625,17335.849609375,10598.189453125,17.329999923706055
2015-02-04,2041.510009765625,17673.01953125,17678.740234375,10577.7890625,18.329999923706055
2015-02-05,2062.52001953125,17884.880859375,17504.619140625,10535.4892578125,16.850000381469727
2015-02-06,2055.469970703125,17824.2890625,17648.5,10573.0888671875,17.290000915527344
2015-02-09,2046.739990234375,17729.2109375,17711.9296875,10364.8896484375,18.549999237060547
2015-02-10,2068.590087890625,17868.759765625,17652.6796875,10500.0888671875,17.229999542236328
2015-02-12,2088.47998046875,17972.380859375,17979.720703125,10562.189453125,15.34000015258789
2015-02-13,2096.989990234375,18019.349609375,17913.359375,10739.4892578125,14.6899995803833
2015-02-17,2100.340087890625,18047.580078125,17987.08984375,10697.9892578125,15.800000190734863
2015-02-18,2099.679931640625,18029.849609375,18199.169921875,10805.2890625,15.449999809265137
2015-02-19,2097.449951171875,17985.76953125,18264.7890625,10910.3896484375,15.289999961853027
2015-02-20,2110.300048828125,18140.439453125,18332.30078125,10879.2890625,14.300000190734863
2015-02-23,2109.659912109375,18116.83984375,18466.919921875,10990.0888671875,14.5600004196167
2015-02-24,2115.47998046875,18209.189453125,18603.48046875,11064.4892578125,13.6899995803833
2015-02-25,2113.860107421875,18224.5703125,18585.19921875,11049.4892578125,13.84000015258789
2015-02-26,2110.739990234375,18214.419921875,18785.7890625,11139.48828125,13.90999984741211
2015-02-27,2104.5,18132.69921875,18797.939453125,11178.2880859375,13.34000015258789
2015-03-02,2117.389892578125,18288.630859375,18826.880859375,11178.48828125,13.039999961853027
2015-03-03,2107.780029296875,18203.369140625,18815.16015625,11014.689453125,13.859999656677246
2015-03-04,2098.530029296875,18096.900390625,18703.599609375,11051.2890625,14.229999542236328
2015-03-05,2101.0400390625,18135.720703125,18751.83984375,11124.388671875,14.039999961853027
2015-03-06,2071.260009765625,17856.779296875,18971.0,11091.888671875,15.199999809265137
2015-03-09,2079.429931640625,17995.720703125,18790.55078125,11054.189453125,15.0600004196167
2015-03-10,2044.1600341796875,17662.939453125,18665.109375,10902.189453125,16.690000534057617
2015-03-11,2040.239990234375,17635.390625,18723.51953125,11021.7890625,16.8700008392334
2015-03-12,2065.949951171875,17895.220703125,18991.109375,11011.7890625,15.420000076293945
2015-03-13,2053.39990234375,17749.310546875,19254.25,11033.7890625,16.0
2015-03-16,2081.18994140625,17977.419921875,19246.060546875,11114.6884765625,15.609999656677246
2015-03-17,2074.280029296875,17849.080078125,19437.0,11028.0888671875,15.65999984741211
2015-03-18,2099.5,18076.189453125,19544.48046875,11049.9892578125,13.970000267028809
2015-03-19,2089.27001953125,17959.029296875,19476.560546875,11090.98828125,14.069999694824219
2015-03-20,2108.10009765625,18127.650390625,19560.220703125,11419.587890625,13.020000457763672
2015-03-23,2104.419921875,18116.0390625,19754.359375,11452.7880859375,13.40999984741211
2015-03-24,2091.5,18011.140625,19713.44921875,11579.2880859375,13.619999885559082
2015-03-25,2061.050048828125,17718.5390625,19746.19921875,11464.6884765625,15.4399995803833
2015-03-26,2056.14990234375,17678.23046875,19471.119140625,11453.7880859375,15.800000190734863
2015-03-27,2061.02001953125,17712.66015625,19285.630859375,11427.388671875,15.069999694824219
